_phrase_,type,grammar_symbol,value
"('Härma',)",tänav,TÄNAV,whatevs
"('Miina', 'Härma')",tänav,TÄNAV,whatevs
"('Härmatise',)",tänav,TÄNAV,whatevs
"('Hüübi',)",tänav,TÄNAV,whatevs
"('Ida',)",tänav,TÄNAV,whatevs
"('Idakaare',)",tänav,TÄNAV,whatevs
"('Iirise',)",tänav,TÄNAV,whatevs
"('Illimari',)",tänav,TÄNAV,whatevs
"('Ilma',)",tänav,TÄNAV,whatevs
"('Ilmajaama',)",tänav,TÄNAV,whatevs
"('Ilmarise',)",tänav,TÄNAV,whatevs
"('Ilmatari',)",tänav,TÄNAV,whatevs
"('Ilmatsalu',)",tänav,TÄNAV,whatevs
"('Ilo',)",tänav,TÄNAV,whatevs
"('Ilumäe',)",tänav,TÄNAV,whatevs
"('Ilvese',)",tänav,TÄNAV,whatevs
"('Imanta',)",tänav,TÄNAV,whatevs
"('Inseneri',)",tänav,TÄNAV,whatevs
"('Inženernaja',)",tänav,TÄNAV,whatevs
"('Invaliidi',)",tänav,TÄNAV,whatevs
"('Irusilla',)",tänav,TÄNAV,whatevs
"('Anton', 'Irve')",tänav,TÄNAV,whatevs
"('Irve',)",tänav,TÄNAV,whatevs
"('Isaku',)",tänav,TÄNAV,whatevs
"('Isidori',)",tänav,TÄNAV,whatevs
"('Istiku',)",tänav,TÄNAV,whatevs
"('Iva',)",tänav,TÄNAV,whatevs
"('Ivaste',)",tänav,TÄNAV,whatevs
"('Jaagu',)",tänav,TÄNAV,whatevs
"('Jaagumäe',)",tänav,TÄNAV,whatevs
"('Jaama',)",tänav,TÄNAV,whatevs
"('Jaamamõisa',)",tänav,TÄNAV,whatevs
"('Jaani',)",tänav,TÄNAV,whatevs
"('Jaaniku',)",tänav,TÄNAV,whatevs
"('Jaanioja',)",tänav,TÄNAV,whatevs
"('Jaaniussi',)",tänav,TÄNAV,whatevs
"('Jahu',)",tänav,TÄNAV,whatevs
"('Jakobi',)",tänav,TÄNAV,whatevs
"('Carl', 'Robert', 'Jakobsoni')",tänav,TÄNAV,whatevs
"('Jakobsoni',)",tänav,TÄNAV,whatevs
"('Jalaka',)",tänav,TÄNAV,whatevs
"('Jalakakuru',)",tänav,TÄNAV,whatevs
"('Jalami',)",tänav,TÄNAV,whatevs
"('Jalgpalli',)",tänav,TÄNAV,whatevs
"('Jalgraja',)",tänav,TÄNAV,whatevs
"('Johann', 'Voldemar', 'Jannseni')",tänav,TÄNAV,whatevs
"('Jannseni',)",tänav,TÄNAV,whatevs
"('Jasmiini',)",tänav,TÄNAV,whatevs
"('Mihhail', 'Jermakovi')",tänav,TÄNAV,whatevs
"('Jermakovi',)",tänav,TÄNAV,whatevs
"('Joa',)",tänav,TÄNAV,whatevs
"('Joala',)",tänav,TÄNAV,whatevs
"('Andrus', 'Johani')",tänav,TÄNAV,whatevs
"('Johani',)",tänav,TÄNAV,whatevs
"('Joodi',)",tänav,TÄNAV,whatevs
"('Joone',)",tänav,TÄNAV,whatevs
"('Joosepi',)",tänav,TÄNAV,whatevs
"('Juhani',)",tänav,TÄNAV,whatevs
"('?A.', 'Juhhanovi')",tänav,TÄNAV,whatevs
"('Juhhanovi',)",tänav,TÄNAV,whatevs
"('Juhkentali',)",tänav,TÄNAV,whatevs
"('Juhtme',)",tänav,TÄNAV,whatevs
"('Jussikalda',)",tänav,TÄNAV,whatevs
"('Juta',)",tänav,TÄNAV,whatevs
"('Juudi',)",tänav,TÄNAV,whatevs
"('26.', 'Juuli')",tänav,TÄNAV,whatevs
"('Juuli',)",tänav,TÄNAV,whatevs
"('21.', 'Juuni')",tänav,TÄNAV,whatevs
"('Juuni',)",tänav,TÄNAV,whatevs
"('Juurdepääsu',)",tänav,TÄNAV,whatevs
"('Juurdeveo',)",tänav,TÄNAV,whatevs
"('Juure',)",tänav,TÄNAV,whatevs
"('Jõe',)",tänav,TÄNAV,whatevs
"('1.', 'Jõe')",tänav,TÄNAV,whatevs
"('2.', 'Jõe')",tänav,TÄNAV,whatevs
"('3.', 'Jõe')",tänav,TÄNAV,whatevs
"('4.', 'Jõe')",tänav,TÄNAV,whatevs
"('Jõekalda',)",tänav,TÄNAV,whatevs
"('Jõekääru',)",tänav,TÄNAV,whatevs
"('Jõeoti',)",tänav,TÄNAV,whatevs
"('Jõesuu',)",tänav,TÄNAV,whatevs
"('2.', 'Jõesuu')",tänav,TÄNAV,whatevs
"('Jõetaguse',)",tänav,TÄNAV,whatevs
"('Jõhvika',)",tänav,TÄNAV,whatevs
"('Jänese',)",tänav,TÄNAV,whatevs
"('Järva',)",tänav,TÄNAV,whatevs
"('Järve',)",tänav,TÄNAV,whatevs
"('Järvekalda',)",tänav,TÄNAV,whatevs
"('Järvesuu',)",tänav,TÄNAV,whatevs
"('Jää',)",tänav,TÄNAV,whatevs
