,15386
Faehlmanni 32,2
Aia t.2,793
"Tuuliku 11,",455
Lasteaia 12,282
"Kooli 14, Tapa",433
Jüri 19a,811
Võru mnt.1,61
E.Vilde 2A Rakvere,35
Vaba 6 Haapsalu,377
"TULEVIKU 4, Rakvere",68
Paldiski mnt 68a,1475
Koosa,179
"Tuleviku 8, Rakvere 44312",8
Aia 25 Kuressaare,133
Telliskivi 1,24
Eha 2,17
P�rnu mnt  289a,10
Tabasalu alevik Sarapuu põik 3-23,3
Mustamäe tee 5,10
"Uus 2, Palamuse",4
Pärnu 56,161
"Kibuvitsa tee 1, Randvere",3
Pärnu mnt  289a,163
Võru mnt. 1,75
71024 Pärna tee 3 Pärsti vald Viljandi,231
Kaagjärve,2
Lauluväljaku 26,8
Kangelaste 2 (filial),26
Surju k�la,1
Toome pst. 6,746
Oja 17,37
Kungla 40,4
"PIIRI 4, JõGEVA",7
Tallnna mnt. 19,30
J. S�TISTE TEE 19a,1
Tori alev,1
"R�pina, Apteegi 3",6
Sõle 16,264
A.H.Tammsaare tee 47,420
Uus 2 Põlva 63308,1914
"Võru vald, Väimela",3
Puusepa 1a - 2014,6
"Rahu 2, Kärdla",686
Hiiu 42,2
Vaksali 17,2441
Turu 2 51014 Tartu,1
Suuremõisa,1
Kooli tee 12,84
"Hariduse 5, Narva",19
"TALLINNA 29,KURESSAARE",13
Kütise 4,34
"MAHTRA 48, 13812 TALLINN",14
Paldiski mnt 68A,36
"Vaba 6, Haapsalu",1120
Keskuse 1-20,1
Sütiste tee 17,66
"Meegomäe küla, Võru vald, Võrumaa, 65526",2189
"Tuleviku 1, Rakvere",412
"Virmalise 8-1, Oru",55
71024 Viljandi vald Pärna tee3 Viljandimaa,540
Nabala tee 4a,25
Kooli  10,6
Nooruse 1,896
Kangelaste 24 Narva,48
Turu 2,38
Pargi 1,29
Kesk 27,2394
P�RNU MNT 104,3
Paldiski mnt 68a Tallinn 10617,98
Saverna Valgjärve v. Põlva mk. 63418,34
"Betooni 15a-11,Lagedi",15
"Uus tn.2, Põlva",33
Rahu 34 M1,9
"Kuusalu tee 33, Kuusalu vald",33
Mahtra 48,105
"Turu 2,Tartu",5
Koidu 4-4,23
Merem�e,9
Tal.mnt 46,5
Võidu 5,17
Tartu mnt. 4,17
Teguri 45c,48
"Süda 1, Tallinn",2
"Kuusalu tee 33, Kuusalu vald",10
Ravi 18,199
J. Sütiste tee 17,11
Piiri 12A Aruküla,3
Kuremaa,36
Piiri 2,5535
Tervise 28,19
Gagarini 15a-31,4
Sakala 3B,1
Tuleviku 4 Rakvere,3
J. SÜTISTE TEE 19a,60
Posti 29,8
Teguri 37b,1
Rahu 14-88,1
Aia 24a,77
Misso,26
"TURU2, Tartu",1
Koigi,111
