_phrase_,type,grammar_symbol
"('Annemõisa', 'krjms')",talu,TALU
"('Annemõisa',)",talu,TALU
"('Annenhof',)",talu,TALU
"('Anni', 't')",talu,TALU
"('Anni',)",talu,TALU
"('Annikvere', 'ms')",talu,TALU
"('Annikvere',)",talu,TALU
"('Annimatsi', 't')",talu,TALU
"('Annimatsi',)",talu,TALU
"('Annukse', 't')",talu,TALU
"('Annukse',)",talu,TALU
"('Annuse', 't')",talu,TALU
"('Annuse',)",talu,TALU
"('Annõ', 'ms')",talu,TALU
"('Annõ',)",talu,TALU
"('Anseküla', 'krkms')",talu,TALU
"('Anseküla',)",talu,TALU
"('Ansu', 't')",talu,TALU
"('Ansu',)",talu,TALU
"('Antipa', 't')",talu,TALU
"('Antipa',)",talu,TALU
"('Antsu', 't')",talu,TALU
"('Antsu',)",talu,TALU
"('Antsujüri', 't')",talu,TALU
"('Antsujüri',)",talu,TALU
"('Ao', 'ms')",talu,TALU
"('Ao',)",talu,TALU
"('Apandiku', 'krjms')",talu,TALU
"('Apandiku',)",talu,TALU
"('Apja', 'krjms')",talu,TALU
"('Apja',)",talu,TALU
"('Araka', 'saun')",talu,TALU
"('Araka',)",talu,TALU
"('Araka', 't')",talu,TALU
"('Araksöödi', 't')",talu,TALU
"('Araksöödi',)",talu,TALU
"('Arali', 't')",talu,TALU
"('Arali',)",talu,TALU
"('Araski', 'ms')",talu,TALU
"('Araski',)",talu,TALU
"('Aravere', 'saun')",talu,TALU
"('Aravere',)",talu,TALU
"('Aravuse', 'plms')",talu,TALU
"('Aravuse',)",talu,TALU
"('Arbavere', 'ms')",talu,TALU
"('Arbavere',)",talu,TALU
"('Ardi', 't')",talu,TALU
"('Ardi',)",talu,TALU
"('Are', 'ms')",talu,TALU
"('Are',)",talu,TALU
"('Ariskõnnu', 't')",talu,TALU
"('Ariskõnnu',)",talu,TALU
"('Aristuva', 'krjms')",talu,TALU
"('Aristuva',)",talu,TALU
"('Arju', 'ms')",talu,TALU
"('Arju',)",talu,TALU
"('Arkna', 'ms')",talu,TALU
"('Arkna',)",talu,TALU
"('Armi', 'krjms')",talu,TALU
"('Armi',)",talu,TALU
"('Art', 'Depoo')",talu,TALU
"('Depoo',)",talu,TALU
"('Aru', 'krjms')",talu,TALU
"('Aru',)",talu,TALU
"('Aru', 'krvms')",talu,TALU
"('Aru', 'ms')",talu,TALU
"('Aru', 't')",talu,TALU
"('Aruaia', 'krjms')",talu,TALU
"('Aruaia',)",talu,TALU
"('Aruaia', 't')",talu,TALU
"('Aruhansu', 't')",talu,TALU
"('Aruhansu',)",talu,TALU
"('Arujüri', 't')",talu,TALU
