_phrase_,type,grammar_symbol
"('Ebumäe',)",tänav,TÄNAV
"('Edela', 'tn')",tänav,TÄNAV
"('Edela',)",tänav,TÄNAV
"('Edu', 'tn')",tänav,TÄNAV
"('Edu',)",tänav,TÄNAV
"('Eeri', 'tee')",tänav,TÄNAV
"('Eeri',)",tänav,TÄNAV
"('Eerikneeme', 'tee')",tänav,TÄNAV
"('Eerikneeme',)",tänav,TÄNAV
"('Eerumaa', 'tn')",tänav,TÄNAV
"('Eerumaa',)",tänav,TÄNAV
"('Eesnõmme', 'tee')",tänav,TÄNAV
"('Eesnõmme',)",tänav,TÄNAV
"('Eespere', 'tn')",tänav,TÄNAV
"('Eespere',)",tänav,TÄNAV
"('Eevardi', 'tn')",tänav,TÄNAV
"('Eevardi',)",tänav,TÄNAV
"('Eha', 'tee')",tänav,TÄNAV
"('Eha',)",tänav,TÄNAV
"('Eha', 'tn')",tänav,TÄNAV
"('Ehitaja', 'tn')",tänav,TÄNAV
"('Ehitaja',)",tänav,TÄNAV
"('Ehitajate', 'tee')",tänav,TÄNAV
"('Ehitajate',)",tänav,TÄNAV
"('Ehitajate', 'tn')",tänav,TÄNAV
"('Ehituse', 'tn')",tänav,TÄNAV
"('Ehituse',)",tänav,TÄNAV
"('Ehte', 'tn')",tänav,TÄNAV
"('Ehte',)",tänav,TÄNAV
"('Eidapere', 'tee')",tänav,TÄNAV
"('Eidapere',)",tänav,TÄNAV
"('Eivere', 'tee')",tänav,TÄNAV
"('Eivere',)",tänav,TÄNAV
"('Eke', 'tn')",tänav,TÄNAV
"('Eke',)",tänav,TÄNAV
"('Elektri', 'tn')",tänav,TÄNAV
"('Elektri',)",tänav,TÄNAV
"('Elektrijaama', 'tee')",tänav,TÄNAV
"('Elektrijaama',)",tänav,TÄNAV
"('Elektriku', 'tn')",tänav,TÄNAV
"('Elektriku',)",tänav,TÄNAV
"('Elektroni', 'tn')",tänav,TÄNAV
"('Elektroni',)",tänav,TÄNAV
"('Elevandi', 'tn')",tänav,TÄNAV
"('Elevandi',)",tänav,TÄNAV
"('Ellerheina', 'tee')",tänav,TÄNAV
"('Ellerheina',)",tänav,TÄNAV
"('Elleri',)",tänav,TÄNAV
"('Elulõnga', 'tn')",tänav,TÄNAV
"('Elulõnga',)",tänav,TÄNAV
"('Elva', 'tee')",tänav,TÄNAV
"('Elva',)",tänav,TÄNAV
"('Elva', 'tn')",tänav,TÄNAV
"('Emajõe', 'tn')",tänav,TÄNAV
"('Emajõe',)",tänav,TÄNAV
"('Endla', 'tn')",tänav,TÄNAV
"('Endla',)",tänav,TÄNAV
"('Enela', 'tn')",tänav,TÄNAV
"('Enela',)",tänav,TÄNAV
"('Energeetika', 'tn')",tänav,TÄNAV
"('Energeetika',)",tänav,TÄNAV
"('Energeetikute', 'tn')",tänav,TÄNAV
"('Energeetikute',)",tänav,TÄNAV
"('Energia', 'puiestee')",tänav,TÄNAV
"('Energia',)",tänav,TÄNAV
"('Energia', 'tn')",tänav,TÄNAV
"('Ernst', 'Enno', 'tn')",tänav,TÄNAV
"('Ernst', 'Enno')",tänav,TÄNAV
"('Enno',)",tänav,TÄNAV
"('Eno', 'tn')",tänav,TÄNAV
"('Eno',)",tänav,TÄNAV
"('Entusiastide', 'tn')",tänav,TÄNAV
"('Entusiastide',)",tänav,TÄNAV
"('EPT', 'tn')",tänav,TÄNAV
"('EPT',)",tänav,TÄNAV
"('Era', 'tn')",tänav,TÄNAV
"('Era',)",tänav,TÄNAV
"('Ereda', 'tn')",tänav,TÄNAV
"('Ereda',)",tänav,TÄNAV
"('Erika', 'tn')",tänav,TÄNAV
"('Erika',)",tänav,TÄNAV
"('Erma', 'tee')",tänav,TÄNAV
"('Erma',)",tänav,TÄNAV
"('Esku', 'tn')",tänav,TÄNAV
"('Esku',)",tänav,TÄNAV
"('Esperanto', 'tn')",tänav,TÄNAV
"('Esperanto',)",tänav,TÄNAV
"('Esplanaadi', 'tn')",tänav,TÄNAV
"('Esplanaadi',)",tänav,TÄNAV
"('Estakaadi', 'tn')",tänav,TÄNAV
"('Estakaadi',)",tänav,TÄNAV
"('Estonia', 'puiestee')",tänav,TÄNAV
"('Estonia',)",tänav,TÄNAV
"('Eterniidi', 'tn')",tänav,TÄNAV
"('Eterniidi',)",tänav,TÄNAV
"('Ettevõtluse', 'tn')",tänav,TÄNAV
"('Ettevõtluse',)",tänav,TÄNAV
"('Eveli', 'tn')",tänav,TÄNAV
"('Eveli',)",tänav,TÄNAV
"('Friedrich', 'Robert', 'Faehlmanni', 'tee')",tänav,TÄNAV
"('Friedrich', 'Robert', 'Faehlmanni')",tänav,TÄNAV
"('Faehlmanni',)",tänav,TÄNAV
"('Friedrich', 'Robert', 'Faehlmanni', 'tn')",tänav,TÄNAV
"('Falgi', 'tee')",tänav,TÄNAV
"('Falgi',)",tänav,TÄNAV
